question,domain,video_id,config,bleu,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,cfg_name
"What does a chatbot use to pause before responding, as mentioned in the transcript?",news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.006787181501568368,0.0967741935483871,0.0,0.06451612903225806,-0.0783352255821228,0.035061467438936234,-0.020606569945812225,top-minilm-mistral
What is the purpose of using a vector database instead of storing raw data like text files and images?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.46106403392076034,0.7368421052631579,0.6486486486486486,0.631578947368421,0.4033487141132355,0.8561252951622009,0.6011560559272766,top-minilm-mistral
How does the embedding model convert images into vectors in a vector database?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.19133137335032818,0.5294117647058824,0.36363636363636365,0.4411764705882353,0.2998858094215393,0.6590684652328491,0.4608018100261688,top-minilm-mistral
What is the purpose of the RAG system in relation to employee handbooks?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.007711727065811939,0.16666666666666666,0.0,0.1,-0.024337682873010635,0.10098171979188919,0.038636766374111176,top-minilm-mistral
When was the idea of Mixture of Experts (MOE) first published in a scientific journal?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.007711727065811939,0.18867924528301885,0.0,0.1509433962264151,-0.15109485387802124,0.03639395162463188,-0.061780016869306564,top-minilm-mistral
What does MCP standardize for large language models and why is it considered exciting?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.1406272818980673,0.5833333333333334,0.288135593220339,0.33333333333333337,0.4279303252696991,0.6811370849609375,0.5464733242988586,top-minilm-mistral
What is the current status of ASI (Artificial Superintelligence) as per the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.16081986819293687,0.5128205128205128,0.3243243243243243,0.358974358974359,0.06714627146720886,0.6203994154930115,0.29244178533554077,top-minilm-mistral
What is AGI (Artificial General Intelligence) according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.2485364833746714,0.5,0.3448275862068966,0.4666666666666667,0.20174777507781982,0.6225119829177856,0.384706050157547,top-minilm-mistral
How does MoE models like IBM Granite's 4.0 series work according to the speaker?,news_analysis,VSFuqMh4hus,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.006132910803680854,0.06666666666666667,0.0,0.06666666666666667,-0.14058524370193481,-0.03055407665669918,-0.08429180085659027,top-minilm-mistral
What kind of information are base models usually trained on?,cs_lectures,RRKwmeyIc24,"PipelineConfig(emb=minilm, chunk=fixed-500, rerank=True, llm=mistral)",0.5956403592718089,0.7499999999999999,0.7272727272727273,0.7499999999999999,0.15080539882183075,0.8835095167160034,0.43481168150901794,top-minilm-mistral
